"ID","District ID","District Name","State Name","REGION","School Type","Start of Year Status","Equal Mix schools","Majority Non-White schools","Majority White schools","NA schools","TOTAL schools","Percent Equal Mix schools","Percent Majority Non-White schools","Percent Majority White schools","Percent NA schools","Total students","Size_DESC","White_students","Non-White_students","Percent White_students","Percent Non-White students","DISNDX","DISNDX_DESC"
8884.00,"3007980","Kinsey Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,61.00,"Less than 500 students",59.00,2.00,0.96,0.03,,"NA"
8885.00,"3008010","S Y Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,6.00,"Less than 500 students",6.00,0.00,1.00,0.00,,"NA"
8886.00,"3008130","Custer K-12 Schools","Montana","West Region","1-Regular school","1-Open",0.00,0.00,3.00,0.00,3.00,0.00,0.00,1.00,0.00,105.00,"Less than 500 students",99.00,6.00,0.94,0.05,36.36,"25.1 - 50"
8887.00,"3008190","Cut Bank H S","Montana","West Region","1-Regular school","1-Open",0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,227.00,"Less than 500 students",106.00,121.00,0.46,0.53,,"NA"
8888.00,"3008280","Darby K-12 Schools","Montana","West Region","1-Regular school","1-Open",0.00,0.00,3.00,0.00,3.00,0.00,0.00,1.00,0.00,326.00,"Less than 500 students",292.00,34.00,0.89,0.10,6.04,"Less than 10"
8889.00,"3008310","Davey Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,16.00,"Less than 500 students",15.00,1.00,0.93,0.06,,"NA"
8890.00,"3008340","Dawson H S","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,343.00,"Less than 500 students",314.00,29.00,0.91,0.08,,"NA"
8891.00,"3008400","Lindsay Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,7.00,"Less than 500 students",7.00,0.00,1.00,0.00,,"NA"
8892.00,"3008470","Deer Creek Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,20.00,"Less than 500 students",18.00,2.00,0.90,0.10,,"NA"
8893.00,"3008670","Deer Lodge Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,426.00,"Less than 500 students",377.00,49.00,0.88,0.11,5.42,"Less than 10"
8894.00,"3008700","Deer Park Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,199.00,"Less than 500 students",188.00,11.00,0.94,0.05,4.64,"Less than 10"
8895.00,"3008730","Deerfield Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,13.00,"Less than 500 students",13.00,0.00,1.00,0.00,,"NA"
8896.00,"3008850","Denton H S","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,10.00,"Less than 500 students",7.00,3.00,0.70,0.30,,"NA"
8897.00,"3008860","Denton Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,35.00,"Less than 500 students",28.00,7.00,0.80,0.20,10.71,"10 - 25"
8898.00,"3008880","DeSmet Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,127.00,"Less than 500 students",98.00,29.00,0.77,0.22,18.29,"10 - 25"
8899.00,"3008910","Dillon Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,780.00,"500 - 999 students",694.00,86.00,0.88,0.11,7.40,"Less than 10"
8900.00,"3009000","Divide Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,5.00,"Less than 500 students",5.00,0.00,1.00,0.00,,"NA"
8901.00,"3009030","Dixon Elem","Montana","West Region","1-Regular school","1-Open",0.00,2.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,56.00,"Less than 500 students",18.00,38.00,0.32,0.67,18.12,"10 - 25"
8902.00,"3009120","Dodson K-12","Montana","West Region","1-Regular school","1-Open",0.00,3.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,92.00,"Less than 500 students",9.00,83.00,0.09,0.90,42.30,"25.1 - 50"
8903.00,"3009180","Drummond Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,119.00,"Less than 500 students",104.00,15.00,0.87,0.12,3.07,"Less than 10"
8904.00,"3009210","Drummond H S","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,63.00,"Less than 500 students",60.00,3.00,0.95,0.04,,"NA"
8905.00,"3009330","Dupuyer Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,21.00,"Less than 500 students",21.00,0.00,1.00,0.00,,"NA"
8906.00,"3009510","East Glacier Park Elem","Montana","West Region","1-Regular school","1-Open",0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,63.00,"Less than 500 students",9.00,54.00,0.14,0.85,,"NA"
8907.00,"3009670","Ekalaka Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,81.00,"Less than 500 students",71.00,10.00,0.87,0.12,15.35,"10 - 25"
8908.00,"3009720","Elder Grove Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,689.00,"500 - 999 students",602.00,87.00,0.87,0.12,8.98,"Less than 10"
8909.00,"3009780","Elliston Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,19.00,"Less than 500 students",19.00,0.00,1.00,0.00,,"NA"
8910.00,"3009840","Elysian Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,451.00,"Less than 500 students",360.00,91.00,0.79,0.20,0.07,"Less than 10"
8911.00,"3009930","Ennis K-12 Schools","Montana","West Region","1-Regular school","1-Open",0.00,0.00,3.00,0.00,3.00,0.00,0.00,1.00,0.00,422.00,"Less than 500 students",400.00,22.00,0.94,0.05,14.09,"10 - 25"
8912.00,"3010080","Eureka Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,497.00,"Less than 500 students",432.00,65.00,0.86,0.13,3.30,"Less than 10"
8913.00,"3010140","Fairfield Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,207.00,"Less than 500 students",195.00,12.00,0.94,0.05,8.58,"Less than 10"
8914.00,"3010170","Fairfield H S","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,116.00,"Less than 500 students",98.00,18.00,0.84,0.15,,"NA"
8915.00,"3010210","Fairview Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,182.00,"Less than 500 students",154.00,28.00,0.84,0.15,6.49,"Less than 10"
8916.00,"3010230","Fair-Mont-Egan Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,133.00,"Less than 500 students",127.00,6.00,0.95,0.04,1.31,"Less than 10"
8917.00,"3010290","Fairview H S","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,116.00,"Less than 500 students",99.00,17.00,0.85,0.14,,"NA"
8918.00,"3010530","Fergus H S","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,356.00,"Less than 500 students",321.00,35.00,0.90,0.09,,"NA"
8919.00,"3010800","Fishtail Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,13.00,"Less than 500 students",13.00,0.00,1.00,0.00,,"NA"
8920.00,"3010820","Wise River Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,3.00,"Less than 500 students",3.00,0.00,1.00,0.00,,"NA"
8921.00,"3010920","Evergreen Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,651.00,"500 - 999 students",550.00,101.00,0.84,0.15,13.06,"10 - 25"
8922.00,"3010950","Olney-Bissell Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,105.00,"Less than 500 students",95.00,10.00,0.90,0.09,38.42,"25.1 - 50"
8923.00,"3011100","Florence-Carlton K-12 Schls","Montana","West Region","1-Regular school","1-Open",0.00,0.00,3.00,0.00,3.00,0.00,0.00,1.00,0.00,790.00,"500 - 999 students",709.00,81.00,0.89,0.10,4.78,"Less than 10"
8924.00,"3011160","Forsyth Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,202.00,"Less than 500 students",171.00,31.00,0.84,0.15,15.75,"10 - 25"
8925.00,"3011190","Forsyth H S","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,99.00,"Less than 500 students",82.00,17.00,0.82,0.17,,"NA"
8926.00,"3011240","Fort Benton Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,249.00,"Less than 500 students",210.00,39.00,0.84,0.15,7.47,"Less than 10"
8927.00,"3011260","Fort Benton H S","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,107.00,"Less than 500 students",92.00,15.00,0.85,0.14,,"NA"
8928.00,"3011340","Fortine Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,73.00,"Less than 500 students",68.00,5.00,0.93,0.06,22.05,"10 - 25"
8929.00,"3011420","Frazer Elem","Montana","West Region","1-Regular school","1-Open",0.00,2.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,62.00,"Less than 500 students",0.00,62.00,0.00,1.00,,"NA"
8930.00,"3011460","Frazer H S","Montana","West Region","1-Regular school","1-Open",0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,31.00,"Less than 500 students",0.00,31.00,0.00,1.00,,"NA"
